,Sim_Losses,default_rank,EP,Year
3968,62.89372927090818,3969.0,0.03968960310396896,25.0
3969,62.89270303989815,3970.0,0.03969960300396996,25.0
3970,62.8434270939607,3971.0,0.03970960290397096,25.0
3971,62.833272757759715,3972.0,0.03971960280397196,25.0
3972,62.80654658083906,3973.0,0.03972960270397296,25.0
3973,62.80179657400332,3974.0,0.03973960260397396,25.0
3974,62.80084644376028,3975.0,0.03974960250397496,25.0
3975,62.79726331153256,3976.0,0.03975960240397596,25.0
3976,62.79383218326852,3977.0,0.03976960230397696,25.0
3977,62.77154780958635,3978.0,0.03977960220397796,25.0
3978,62.76257931052127,3979.0,0.03978960210397896,25.0
3979,62.76201427681917,3980.0,0.03979960200397996,25.0
3980,62.749975254785326,3981.0,0.03980960190398096,25.0
3981,62.74698359570593,3982.0,0.03981960180398196,25.0
3982,62.74588567099016,3983.0,0.03982960170398296,25.0
3983,62.74044077018817,3984.0,0.03983960160398396,25.0
3984,62.73754236050604,3985.0,0.03984960150398496,25.0
3985,62.729086330464426,3986.0,0.03985960140398596,25.0
3986,62.72174810209239,3987.0,0.03986960130398696,25.0
3987,62.7181277904095,3988.0,0.03987960120398796,25.0
3988,62.702377077903364,3989.0,0.03988960110398896,25.0
3989,62.69459211963191,3990.0,0.03989960100398996,25.0
3990,62.66751770628602,3991.0,0.03990960090399096,25.0
3991,62.66748468351084,3992.0,0.03991960080399196,25.0
3992,62.65688656723738,3993.0,0.03992960070399296,25.0
3993,62.65057368656973,3994.0,0.03993960060399396,25.0
3994,62.63762222095144,3995.0,0.03994960050399496,25.0
3995,62.637440985662614,3996.0,0.03995960040399596,25.0
3996,62.627161419097874,3997.0,0.03996960030399696,25.0
3997,62.623955327364484,3998.0,0.03997960020399796,25.0
3998,62.62125204124504,3999.0,0.03998960010399896,25.0
3999,62.620751768287505,4000.0,0.03999960000399996,25.0
4000,62.612649325439335,4001.0,0.04000959990400096,25.0
4001,62.60121047723875,4002.0,0.04001959980400196,25.0
4002,62.59333061815469,4003.0,0.04002959970400296,25.0
4003,62.58728894370573,4004.0,0.04003959960400396,25.0
4004,62.58091822974164,4005.0,0.04004959950400496,25.0
4005,62.5802654394467,4006.0,0.04005959940400596,25.0
4006,62.57415185494887,4007.0,0.04006959930400696,25.0
4007,62.56674959887459,4008.0,0.04007959920400796,25.0
4008,62.558945843684754,4009.0,0.04008959910400896,25.0
4009,62.546639244249874,4010.0,0.04009959900400996,25.0
4010,62.5461869592885,4011.0,0.04010959890401096,25.0
4011,62.54197163397022,4012.0,0.04011959880401196,25.0
4012,62.53716947361933,4013.0,0.04012959870401296,25.0
4013,62.532532617810546,4014.0,0.04013959860401396,25.0
4014,62.529307521326366,4015.0,0.040149598504014956,25.0
4015,62.51993827515622,4016.0,0.04015959840401596,25.0
4016,62.50682923222017,4017.0,0.04016959830401696,25.0
4017,62.50135987980454,4018.0,0.04017959820401796,25.0
4018,62.49785796894349,4019.0,0.04018959810401896,25.0
4019,62.48001373340094,4020.0,0.04019959800401996,25.0
4020,62.475804982425856,4021.0,0.04020959790402096,25.0
4021,62.474358502644094,4022.0,0.04021959780402196,25.0
4022,62.47301711442118,4023.0,0.04022959770402296,25.0
4023,62.47201598060262,4024.0,0.04023959760402396,25.0
4024,62.470824651463715,4025.0,0.04024959750402496,25.0
4025,62.46433885061219,4026.0,0.04025959740402596,25.0
4026,62.45773483915079,4027.0,0.04026959730402696,25.0
4027,62.393745295529726,4028.0,0.04027959720402796,25.0
4028,62.380027968906134,4029.0,0.04028959710402896,25.0
4029,62.372326423674096,4030.0,0.040299597004029956,25.0
4030,62.358290497921125,4031.0,0.04030959690403096,25.0
4031,62.353102541221006,4032.0,0.04031959680403196,25.0
4032,62.350064842096614,4033.0,0.04032959670403296,25.0
4033,62.34156810050405,4034.0,0.04033959660403396,25.0
4034,62.32285793175835,4035.0,0.04034959650403496,25.0
4035,62.31905973175419,4036.0,0.04035959640403596,25.0
4036,62.30149174922052,4037.0,0.04036959630403696,25.0
4037,62.28986301737436,4038.0,0.04037959620403796,25.0
4038,62.27872126957023,4039.0,0.04038959610403896,25.0
4039,62.25834294034878,4040.0,0.04039959600403996,25.0
4040,62.24876814175464,4041.0,0.04040959590404096,25.0
4041,62.24782910796105,4042.0,0.04041959580404196,25.0
4042,62.24667732360266,4043.0,0.04042959570404296,25.0
4043,62.22503749955865,4044.0,0.04043959560404396,25.0
4044,62.223532566040475,4045.0,0.040449595504044956,25.0
4045,62.22285452136795,4046.0,0.04045959540404596,25.0
4046,62.21735522452211,4047.0,0.04046959530404696,25.0
4047,62.21344910963224,4048.0,0.04047959520404796,25.0
4048,62.20595849576576,4049.0,0.04048959510404896,25.0
4049,62.201766258642635,4050.0,0.04049959500404996,25.0
4050,62.18756204097846,4051.0,0.04050959490405096,25.0
4051,62.17096047908986,4052.0,0.040519594804051956,25.0
4052,62.166818554015194,4053.0,0.04052959470405296,25.0
4053,62.16347756607461,4054.0,0.04053959460405396,25.0
4054,62.1615345130283,4055.0,0.04054959450405496,25.0
4055,62.135181287203935,4056.0,0.04055959440405596,25.0
4056,62.13408749403003,4057.0,0.04056959430405696,25.0
4057,62.13218785107537,4058.0,0.04057959420405796,25.0
4058,62.12704764188481,4059.0,0.04058959410405896,25.0
4059,62.12586355317421,4060.0,0.040599594004059956,25.0
4060,62.122298288631555,4061.0,0.04060959390406096,25.0
4061,62.11653275782787,4062.0,0.04061959380406196,25.0
4062,62.11057118329251,4063.0,0.04062959370406296,25.0
4063,62.109303926787966,4064.0,0.04063959360406396,25.0
4064,62.10346522547819,4065.0,0.04064959350406496,25.0
4065,62.100342216340835,4066.0,0.04065959340406596,25.0
4066,62.09284993206643,4067.0,0.040669593304066956,25.0
4067,62.08635555898943,4068.0,0.04067959320406796,25.0
4068,62.08363347518798,4069.0,0.04068959310406896,25.0
4069,62.077096431044296,4070.0,0.04069959300406996,25.0
4070,62.07430044338366,4071.0,0.04070959290407096,25.0
4071,62.070498051439614,4072.0,0.04071959280407196,25.0
4072,62.06950561317751,4073.0,0.04072959270407296,25.0
4073,62.06528143457737,4074.0,0.04073959260407396,25.0
4074,62.06414700363962,4075.0,0.04074959250407496,25.0
4075,62.05899745649127,4076.0,0.04075959240407596,25.0
4076,62.05527399955799,4077.0,0.04076959230407696,25.0
4077,62.04349087528384,4078.0,0.04077959220407796,25.0
4078,62.04060592845728,4079.0,0.04078959210407896,25.0
4079,62.03619530345752,4080.0,0.04079959200407996,25.0
4080,62.034232299506385,4081.0,0.04080959190408096,25.0
9523,37.1267379307986,9524.0,0.09523904760952391,10.0
9524,37.115813991895685,9525.0,0.0952490475095249,10.0
9525,37.11091678967641,9526.0,0.0952590474095259,10.0
9526,37.10859807442371,9527.0,0.0952690473095269,10.0
9527,37.10834809205967,9528.0,0.0952790472095279,10.0
9528,37.10551059524081,9529.0,0.0952890471095289,10.0
9529,37.10317181742377,9530.0,0.0952990470095299,10.0
9530,37.0967121891345,9531.0,0.0953090469095309,10.0
9531,37.09597464790793,9532.0,0.0953190468095319,10.0
9532,37.09493527057205,9533.0,0.0953290467095329,10.0
9533,37.09372272867583,9534.0,0.0953390466095339,10.0
9534,37.09306256043346,9535.0,0.09534904650953491,10.0
9535,37.08779462637159,9536.0,0.09535904640953591,10.0
9536,37.08638340000907,9537.0,0.09536904630953691,10.0
9537,37.08234339311581,9538.0,0.09537904620953791,10.0
9538,37.08090991621038,9539.0,0.09538904610953891,10.0
9539,37.07834696549782,9540.0,0.0953990460095399,10.0
9540,37.07278879419074,9541.0,0.0954090459095409,10.0
9541,37.07171331893211,9542.0,0.0954190458095419,10.0
9542,37.071677964174334,9543.0,0.0954290457095429,10.0
9543,37.07131779582298,9544.0,0.0954390456095439,10.0
9544,37.071148792318965,9545.0,0.0954490455095449,10.0
9545,37.07044285488025,9546.0,0.0954590454095459,10.0
9546,37.06917435583159,9547.0,0.0954690453095469,10.0
9547,37.06625092607829,9548.0,0.0954790452095479,10.0
9548,37.06350628242944,9549.0,0.0954890451095489,10.0
9549,37.06266235418939,9550.0,0.09549904500954991,10.0
9550,37.06227458368373,9551.0,0.09550904490955091,10.0
9551,37.05485956108141,9552.0,0.09551904480955191,10.0
9552,37.052225346520146,9553.0,0.09552904470955291,10.0
9553,37.047730588132914,9554.0,0.09553904460955391,10.0
9554,37.04214835050534,9555.0,0.0955490445095549,10.0
9555,37.03608032495121,9556.0,0.0955590444095559,10.0
9556,37.03178880880901,9557.0,0.0955690443095569,10.0
9557,37.02678213087821,9558.0,0.0955790442095579,10.0
9558,37.01240675735151,9559.0,0.0955890441095589,10.0
9559,37.00937184246256,9560.0,0.0955990440095599,10.0
9560,37.008448694316534,9561.0,0.0956090439095609,10.0
9561,37.00438334270711,9562.0,0.0956190438095619,10.0
9562,37.00397022881357,9563.0,0.0956290437095629,10.0
9563,37.00278913532986,9564.0,0.0956390436095639,10.0
9564,37.00056735798431,9565.0,0.09564904350956491,10.0
9565,37.00055496157934,9566.0,0.09565904340956591,10.0
9566,37.000249626530035,9567.0,0.09566904330956691,10.0
9567,36.99979401512096,9568.0,0.09567904320956791,10.0
9568,36.997547955116765,9569.0,0.09568904310956891,10.0
9569,36.99680768006316,9570.0,0.0956990430095699,10.0
9570,36.99288441246178,9571.0,0.0957090429095709,10.0
9571,36.98781666173179,9572.0,0.0957190428095719,10.0
9572,36.98431131268951,9573.0,0.0957290427095729,10.0
9573,36.98352607906497,9574.0,0.0957390426095739,10.0
9574,36.98249112269477,9575.0,0.0957490425095749,10.0
9575,36.97263051648057,9576.0,0.0957590424095759,10.0
9576,36.97097568718191,9577.0,0.0957690423095769,10.0
9577,36.96896088698024,9578.0,0.0957790422095779,10.0
9578,36.96553216319059,9579.0,0.0957890421095789,10.0
9579,36.961672348670845,9580.0,0.09579904200957991,10.0
9580,36.957350756615426,9581.0,0.09580904190958091,10.0
9581,36.954194964151554,9582.0,0.09581904180958191,10.0
9582,36.952981830572256,9583.0,0.09582904170958291,10.0
9583,36.95286802038698,9584.0,0.09583904160958391,10.0
9584,36.952466623088426,9585.0,0.0958490415095849,10.0
9585,36.95010378282155,9586.0,0.0958590414095859,10.0
9586,36.94844014282101,9587.0,0.0958690413095869,10.0
9587,36.94722053206844,9588.0,0.0958790412095879,10.0
9588,36.94498481750509,9589.0,0.0958890411095889,10.0
9589,36.943259846124455,9590.0,0.0958990410095899,10.0
9590,36.94140929718054,9591.0,0.0959090409095909,10.0
9591,36.94132837173012,9592.0,0.0959190408095919,10.0
9592,36.93985238320303,9593.0,0.0959290407095929,10.0
9593,36.93862743745558,9594.0,0.0959390406095939,10.0
9594,36.93286799156846,9595.0,0.09594904050959491,10.0
9595,36.92859511388797,9596.0,0.09595904040959591,10.0
9596,36.92544354684707,9597.0,0.09596904030959691,10.0
9597,36.924424826572555,9598.0,0.09597904020959791,10.0
9598,36.92357816803696,9599.0,0.0959890401095989,10.0
9599,36.91787364562017,9600.0,0.0959990400095999,10.0
9600,36.91690381134414,9601.0,0.0960090399096009,10.0
9601,36.91182375172857,9602.0,0.0960190398096019,10.0
9602,36.90731290917803,9603.0,0.0960290397096029,10.0
9603,36.896375192553776,9604.0,0.0960390396096039,10.0
9604,36.89574528784215,9605.0,0.0960490395096049,10.0
9605,36.89426618290132,9606.0,0.0960590394096059,10.0
9606,36.8929223750231,9607.0,0.0960690393096069,10.0
9607,36.89232471332718,9608.0,0.0960790392096079,10.0
9608,36.890954584542776,9609.0,0.0960890391096089,10.0
9609,36.88925866232169,9610.0,0.09609903900960991,10.0
9610,36.88592505043992,9611.0,0.09610903890961091,10.0
9611,36.88230012190894,9612.0,0.09611903880961191,10.0
9612,36.880953534877605,9613.0,0.09612903870961291,10.0
9613,36.87943231552408,9614.0,0.0961390386096139,10.0
9614,36.87767637078399,9615.0,0.0961490385096149,10.0
9615,36.87763627942372,9616.0,0.0961590384096159,10.0
9616,36.874979368578636,9617.0,0.0961690383096169,10.0
9617,36.872544816787155,9618.0,0.0961790382096179,10.0
9618,36.86972075406469,9619.0,0.0961890381096189,10.0
9619,36.86894696578719,9620.0,0.0961990380096199,10.0
9620,36.86615523451051,9621.0,0.0962090379096209,10.0
9621,36.86382034899321,9622.0,0.0962190378096219,10.0
9622,36.85893783774053,9623.0,0.0962290377096229,10.0
9623,36.85805922930541,9624.0,0.0962390376096239,10.0
9624,36.85395345978181,9625.0,0.09624903750962491,10.0
9625,36.8517095590875,9626.0,0.09625903740962591,10.0
9626,36.84929807431383,9627.0,0.09626903730962691,10.0
9627,36.84222027673415,9628.0,0.09627903720962791,10.0
9628,36.834938827516005,9629.0,0.0962890371096289,10.0
9629,36.826403502044755,9630.0,0.0962990370096299,10.0
9630,36.82609981403781,9631.0,0.0963090369096309,10.0
9631,36.82433624730793,9632.0,0.0963190368096319,10.0
9632,36.82076014665739,9633.0,0.0963290367096329,10.0
9633,36.819844538796204,9634.0,0.0963390366096339,10.0
9634,36.81711892925242,9635.0,0.0963490365096349,10.0
9635,36.810717095611494,9636.0,0.0963590364096359,10.0
9636,36.806588173460355,9637.0,0.0963690363096369,10.0
9637,36.8055602236324,9638.0,0.0963790362096379,10.0
9638,36.80492893124939,9639.0,0.0963890361096389,10.0
9639,36.80426643574922,9640.0,0.09639903600963991,10.0
9640,36.80242372158466,9641.0,0.09640903590964091,10.0
9641,36.79153134518747,9642.0,0.09641903580964191,10.0
9642,36.78619066352586,9643.0,0.09642903570964291,10.0
9643,36.782635658945395,9644.0,0.0964390356096439,10.0
9644,36.78185563620677,9645.0,0.0964490355096449,10.0
9645,36.78087481008042,9646.0,0.0964590354096459,10.0
9646,36.777668641619655,9647.0,0.0964690353096469,10.0
9647,36.77560181294278,9648.0,0.0964790352096479,10.0
9648,36.77362704782112,9649.0,0.0964890351096489,10.0
9649,36.773004753022306,9650.0,0.0964990350096499,10.0
9650,36.76771230782852,9651.0,0.0965090349096509,10.0
9651,36.7649066767941,9652.0,0.0965190348096519,10.0
9652,36.76305265344484,9653.0,0.0965290347096529,10.0
9653,36.756543912676065,9654.0,0.0965390346096539,10.0
9654,36.7501755619635,9655.0,0.09654903450965491,10.0
9655,36.748807846580576,9656.0,0.09655903440965591,10.0
9656,36.74801143874383,9657.0,0.09656903430965691,10.0
9657,36.74661127272535,9658.0,0.09657903420965791,10.0
9658,36.746568553190045,9659.0,0.0965890341096589,10.0
9659,36.744789064273995,9660.0,0.0965990340096599,10.0
9660,36.737017154648896,9661.0,0.0966090339096609,10.0
9661,36.73650487094406,9662.0,0.0966190338096619,10.0
9662,36.73393563664435,9663.0,0.0966290337096629,10.0
9663,36.73114055537856,9664.0,0.0966390336096639,10.0
9664,36.72157355936645,9665.0,0.0966490335096649,10.0
9665,36.721486376134635,9666.0,0.0966590334096659,10.0
9666,36.72124803129321,9667.0,0.0966690333096669,10.0
9667,36.72087652478559,9668.0,0.0966790332096679,10.0
9668,36.720445964985274,9669.0,0.0966890331096689,10.0
9669,36.7198532974391,9670.0,0.09669903300966991,10.0
9670,36.71227097470302,9671.0,0.09670903290967091,10.0
9671,36.70922285862169,9672.0,0.09671903280967191,10.0
9672,36.70920746325298,9673.0,0.0967290327096729,10.0
9673,36.7043321329416,9674.0,0.0967390326096739,10.0
9674,36.70275701834595,9675.0,0.0967490325096749,10.0
9675,36.70032870241777,9676.0,0.0967590324096759,10.0
9676,36.6999363696795,9677.0,0.0967690323096769,10.0
9677,36.69830196631301,9678.0,0.0967790322096779,10.0
9678,36.697614593886065,9679.0,0.0967890321096789,10.0
9679,36.693268242006425,9680.0,0.0967990320096799,10.0
9680,36.68930094359435,9681.0,0.0968090319096809,10.0
9681,36.689288779529356,9682.0,0.0968190318096819,10.0
9682,36.68837886347603,9683.0,0.0968290317096829,10.0
9683,36.68638287138392,9684.0,0.0968390316096839,10.0
9684,36.6831744414521,9685.0,0.09684903150968491,10.0
9685,36.68238346758236,9686.0,0.09685903140968591,10.0
9686,36.680833234975836,9687.0,0.09686903130968691,10.0
9687,36.676426189385836,9688.0,0.0968790312096879,10.0
9688,36.675626093132564,9689.0,0.0968890311096889,10.0
9689,36.67366094930515,9690.0,0.0968990310096899,10.0
9690,36.67117172459337,9691.0,0.0969090309096909,10.0
9691,36.669961981316554,9692.0,0.0969190308096919,10.0
9692,36.66683909325135,9693.0,0.0969290307096929,10.0
9693,36.666756221707985,9694.0,0.0969390306096939,10.0
9694,36.66663177604818,9695.0,0.0969490305096949,10.0
9695,36.66272955774857,9696.0,0.0969590304096959,10.0
9696,36.66218166137244,9697.0,0.0969690303096969,10.0
9697,36.66147782514567,9698.0,0.0969790302096979,10.0
9698,36.65909125281712,9699.0,0.0969890301096989,10.0
9699,36.658123923400716,9700.0,0.09699903000969991,10.0
9700,36.652652319693274,9701.0,0.09700902990970091,10.0
9701,36.650455825409225,9702.0,0.09701902980970191,10.0
9702,36.64885727669453,9703.0,0.0970290297097029,10.0
9703,36.635831745652496,9704.0,0.0970390296097039,10.0
9704,36.63351903228151,9705.0,0.0970490295097049,10.0
9705,36.63263767232667,9706.0,0.0970590294097059,10.0
9706,36.63143617375549,9707.0,0.0970690293097069,10.0
9707,36.63086538348987,9708.0,0.0970790292097079,10.0
9708,36.62384529534931,9709.0,0.0970890291097089,10.0
9709,36.62327545534759,9710.0,0.0970990290097099,10.0
9710,36.61949128759583,9711.0,0.0971090289097109,10.0
9711,36.619456590820114,9712.0,0.0971190288097119,10.0
9712,36.617202982593014,9713.0,0.0971290287097129,10.0
9713,36.61040238620415,9714.0,0.0971390286097139,10.0
9714,36.60255397783234,9715.0,0.09714902850971491,10.0
9715,36.60177361255325,9716.0,0.09715902840971591,10.0
9716,36.59955143233246,9717.0,0.09716902830971691,10.0
9717,36.58965755883089,9718.0,0.0971790282097179,10.0
9718,36.58543127316454,9719.0,0.0971890281097189,10.0
9719,36.585271890145435,9720.0,0.0971990280097199,10.0
9720,36.58051482385073,9721.0,0.0972090279097209,10.0
9721,36.578462624643194,9722.0,0.0972190278097219,10.0
9722,36.576846480539366,9723.0,0.0972290277097229,10.0
9723,36.573620821878706,9724.0,0.0972390276097239,10.0
9724,36.56841380406717,9725.0,0.0972490275097249,10.0
9725,36.56165219978789,9726.0,0.0972590274097259,10.0
9726,36.55943482717518,9727.0,0.0972690273097269,10.0
9727,36.559319171717355,9728.0,0.0972790272097279,10.0
9728,36.55872842185724,9729.0,0.0972890271097289,10.0
9729,36.55753432406288,9730.0,0.09729902700972991,10.0
9730,36.54888857872157,9731.0,0.09730902690973091,10.0
9731,36.548091794494354,9732.0,0.09731902680973191,10.0
9732,36.54364195332725,9733.0,0.0973290267097329,10.0
9733,36.543368305583314,9734.0,0.0973390266097339,10.0
9734,36.541306626414645,9735.0,0.0973490265097349,10.0
9735,36.52562483265036,9736.0,0.0973590264097359,10.0
9736,36.5218057233832,9737.0,0.0973690263097369,10.0
9737,36.52148829881204,9738.0,0.0973790262097379,10.0
9738,36.518870106936944,9739.0,0.0973890261097389,10.0
9739,36.517795698113794,9740.0,0.0973990260097399,10.0
9740,36.516171215164015,9741.0,0.0974090259097409,10.0
